Family,Model,Verb,Command,Description,SCPI,SCPI (short),Arguments,Arg kind,Arg values,Instance params,Group,Subsystem,Returns,Return type,Return unit,Return fields,SCPI statements,Unverified,File
Distortion,Porta_one,SET,Set_Dost_Cons,"Specifies the consumer standard status bit settings for the rate, emphasis, and copy bits",DOSTatus:CONS <value>,DOST:CONS <value>,value,unknown,,,,DOST,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dost_Prof,"Specifies the professional standard status bit settings for the rate, output pre-emphasis, origination, and destination status bits",DOSTatus:PROF <value>,DOST:PROF <value>,value,unknown,,,,DOST,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dost_Stdo,"Sets the standard for output status bits formatting, either professional standard (PROF) or consumer standard (CONS)",DOSTatus:STDO <value>,DOST:STDO <value>,value,enum,,,,DOST,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dost_Val,Sets the VALIDITY bit for the digital interface output channel A B data streams to either VALID or INVALID,DOSTatus:VALidity <value>,DOST:VAL <value>,value,numeric,,,,DOST,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dph_Amax,"This command sets the maximum amplitude level for an amplitude sweep of the analog generator, the digital generator, or the jitter generator when the SWPType command is set to AMPL",DPHase:AMAX <value>,DPH:AMAX <value>,value,numeric,,,,DPH,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dph_Amin,"This command sets the minimum amplitude level for an amplitude sweep of the analog generator, the digital generator, or the jitter generator when the SWPType command is set to AMPL",DPHase:AMIN <value>,DPH:AMIN <value>,value,numeric,,,,DPH,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dph_Ext,Selects glide or step settling in external sweep mode,DPHase:EXTernal <value>,DPH:EXT <value>,value,bool,OFF; ON,,,DPH,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dph_Fmax,Selects the upper frequency display range for the sweep display,DPHase:FMAX <value>,DPH:FMAX <value>,value,numeric,,,,DPH,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dph_Fmin,Selects the lower frequency display range for the sweep display,DPHase:FMIN <value>,DPH:FMIN <value>,value,numeric,,,,DPH,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dph_Lun,Selects the Digital Level meter units for the center meter,DPHase:LUNit <value>,DPH:LUN <value>,value,enum,FFS; DBFS; DBR,,,DPH,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dph_Mmax,Selects the upper magnitude display range for the sweep display,DPHase:MMAX <value>,DPH:MMAX <value>,value,numeric,,,,DPH,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dph_Mmin,Selects the lower magnitude display range for the sweep display,DPHase:MMIN <value>,DPH:MMIN <value>,value,numeric,,,,DPH,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dph_Rang,Selects the Digital Phase meter display range,DPHase:RANGe <value>,DPH:RANG <value>,value,enum,DEG90; DEG180; DEG270,,,DPH,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dph_Spe,Selects the sweep speed,DPHase:SPEed <value>,DPH:SPE <value>,value,enum,FAST; MED; SLOW,,,DPH,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dph_Step,Selects the sweep mode or the number of sweep steps,DPHase:STEP <value>,DPH:STEP <value>,value,integer,,,,DPH,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dph_Swpt,Specifies that either a frequency sweep or amplitude sweep is to be performed when the SWEEP START command is received,DPHase:SWPType <value>,DPH:SWPT <value>,value,enum,FREQ; AMPL,,,DPH,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dph_Unit,Selects the default degree measurement units for the DPHASE function,DPHase:UNIT <value>,DPH:UNIT <value>,value,enum,DEG,,,DPH,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Drat_Amax,"This command sets the maximum amplitude level for an amplitude sweep of the analog generator, the digital generator, or the jitter generator when the SWPType command is set to AMPL",:DRAT:AMAX <value>,,value,numeric,,,,DRAT,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Drat_Amin,"This command sets the minimum amplitude level for an amplitude sweep of the analog generator, the digital generator, or the jitter generator when the SWPType command is set to AMPL",DRATio:AMIN <value>,DRAT:AMIN <value>,value,numeric,,,,DRAT,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Drat_Ext,Selects glide or step settling in external sweep mode,DRATio:EXTernal <value>,DRAT:EXT <value>,value,bool,OFF; ON,,,DRAT,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Drat_Fmax,Selects the upper frequency display range for the sweep display,DRATio:FMAX <value>,DRAT:FMAX <value>,value,numeric,,,,DRAT,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Drat_Fmin,Selects the lower frequency display range for the sweep display,DRATio:FMIN <value>,DRAT:FMIN <value>,value,numeric,,,,DRAT,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Drat_Lun,Selects the Digital Ratio function Digital Level measurement units,DRATio:LUNit <value>,DRAT:LUN <value>,value,enum,FFS; DBFS; DBR,,,DRAT,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Drat_Mmax,Selects the upper magnitude display range for the sweep and bargraph displays in currently selected units,DRATio:MMAX <value>,DRAT:MMAX <value>,value,numeric,,,,DRAT,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Drat_Mmin,Selects the lower magnitude display range for the sweep display,DRATio:MMIN <value>,DRAT:MMIN <value>,value,numeric,,,,DRAT,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Drat_Spe,Selects the sweep speed,DRATio:SPEed <value>,DRAT:SPE <value>,value,enum,FAST; MED; SLOW,,,DRAT,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Drat_Step,Selects the sweep mode or the number of sweep steps,DRATio:STEP <value>,DRAT:STEP <value>,value,integer,,,,DRAT,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Drat_Swpt,Specifies that either a frequency sweep or amplitude sweep is to be performed when the SWEEP START command is received,DRATio:SWPType <value>,DRAT:SWPT <value>,value,enum,FREQ; AMPL,,,DRAT,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Drat_Unit,Selects either X/Y or dB units for the Digital Ratio measurement function,DRATio:UNIT <value>,DRAT:UNIT <value>,value,enum,DB,,,DRAT,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dthd_Amax,"This command sets the maximum amplitude level for an amplitude sweep of the analog generator, the digital generator, or the jitter generator when the SWPType command is set to AMPL",:DTHD:AMAX <value>,,value,numeric,,,,DTHD,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dthd_Amin,"Sets the minimum amplitude level for an amplitude sweep for the analog generator, the digital generator, or the jitter generator when the SWPType command is set to AMPL",DTHD:AMIN <value>,,value,numeric,,,,DTHD,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dthd_Ext,Selects glide or step in external sweep mode,DTHD:EXTernal <value>,DTHD:EXT <value>,value,bool,OFF; ON,,,DTHD,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dthd_Filt,"Selects the filter for the DTHD function, identical to the front-panel selection",DTHD:FILTer <value>,DTHD:FILT <value>,value,enum,WTD; UNWT; AVER,,,DTHD,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dthd_Fmax,Selects the upper frequency display range for the sweep display,DTHD:FMAX <value>,,value,numeric,,,,DTHD,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dthd_Fmin,Selects the lower frequency display range for the sweep display,DTHD:FMIN <value>,,value,numeric,,,,DTHD,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dthd_Hpas,Selects the high pass filter cut off frequency,DTHD:HPASs <value>,DTHD:HPAS <value>,value,enum,,,,DTHD,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dthd_Lpas,Selects the band pass filter cut off frequency and detector when the unweighted filter or average filter is selected,DTHD:LPASs <value>,DTHD:LPAS <value>,value,enum,R15; R20; HALF; R22; Q22,,,DTHD,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dthd_Lun,Selects the measurement units for the Digital Level measurement in the DTHD function,DTHD:LUNit <value>,DTHD:LUN <value>,value,enum,FFS; DBFS; DBR,,,DTHD,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dthd_Mmax,Selects the upper magnitude display range for the sweep and bargraph displays in currently selected units,DTHD:MMAX <value>,,value,numeric,,,,DTHD,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dthd_Mmin,Selects the lower magnitude display range for the sweep display,DTHD:MMIN <value>,,value,numeric,,,,DTHD,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dthd_Notc,Selects the center frequency for the tunable notch filter when TUNE is set to FIXTune,DTHD:NOTChfreq <value>,DTHD:NOTC <value>,value,unknown,,,,DTHD,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dthd_Spe,Selects the sweep speed,DTHD:SPEed <value>,DTHD:SPE <value>,value,enum,FAST; MED; SLOW,,,DTHD,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dthd_Step,Selects the sweep mode or the number of sweep steps,DTHD:STEP <value>,,value,integer,,,,DTHD,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dthd_Swpt,Specifies that either a frequency sweep or amplitude sweep is to be performed when the SWEEP START command is received,DTHD:SWPType <value>,DTHD:SWPT <value>,value,enum,FREQ; AMPL,,,DTHD,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dthd_Tun,Selects the notch filter tuning mode for the DTHD function,DTHD:TUNe <value>,DTHD:TUN <value>,value,enum,AUT; GENT; FIXT,,,DTHD,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dthd_Unit,Selects the measurement units for the DTHD function,DTHD:UNIT <value>,,value,enum,PCT; DB; FFS; DBFS; DBR,,,DTHD,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dthd_Wtd,Selects the weighting filter for the DTHD+N function when the WTD filter is selected,DTHD:WTD <value>,,value,unknown,,,,DTHD,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dxt_Amax,"This command sets the maximum amplitude level for an amplitude sweep of the analog generator, the digital generator, or the jitter generator when the SWPType command is set to AMPL",DXTalk:AMAX <value>,DXT:AMAX <value>,value,numeric,,,,DXT,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dxt_Amin,"Sets the minimum amplitude level for an amplitude sweep for the analog generator, the digital generator, or the jitter generator when the SWPType command is set to AMPL",DXTalk:AMIN <value>,DXT:AMIN <value>,value,numeric,,,,DXT,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dxt_Ext,Selects glide or step settling in external sweep mode,DXTalk:EXTernal <value>,DXT:EXT <value>,value,bool,OFF; ON,,,DXT,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dxt_Fmax,Selects the upper frequency display range for the sweep display,DXTalk:FMAX <value>,DXT:FMAX <value>,value,numeric,,,,DXT,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dxt_Fmin,Selects the lower frequency display range for the sweep display,DXTalk:FMIN <value>,DXT:FMIN <value>,value,numeric,,,,DXT,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dxt_Lun,Selects the level measurement units for the DXTALK function,DXTalk:LUNit <value>,DXT:LUN <value>,value,enum,FFS; DBFS; DBR,,,DXT,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dxt_Mmax,Selects the upper magnitude display range for the sweep and bargraph displays in currently selected units,DXTalk:MMAX <value>,DXT:MMAX <value>,value,numeric,,,,DXT,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dxt_Mmin,Selects the lower magnitude display range for the sweep display,DXTalk:MMIN <value>,DXT:MMIN <value>,value,numeric,,,,DXT,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dxt_Spe,Selects the sweep speed,DXTalk:SPEed <value>,DXT:SPE <value>,value,enum,FAST; MED; SLOW,,,DXT,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dxt_Step,Selects the sweep mode or the number of sweep steps,DXTalk:STEP <value>,DXT:STEP <value>,value,integer,,,,DXT,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dxt_Swpt,Specifies that either a frequency sweep or amplitude sweep is to be performed when the SWEEP START command is received,DXTalk:SWPType <value>,DXT:SWPT <value>,value,enum,FREQ; AMPL,,,DXT,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Dxt_Unit,Selects the DXTALK measurement units,DXTalk:UNIT <value>,DXT:UNIT <value>,value,enum,,,,DXT,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Frequency,Set Frequency,:GFREquency <freq>,:GFRE <freq>,freq,numeric,,,Set Signal Parameters,Signal_Generator,,,,,1,,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Genl_Fmax,Selects the upper frequency display range for the sweep and bargraph displays,:GENL:FMAX <value>,,value,numeric,,,,GENL,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Genl_Fmin,Selects the lower frequency display range for the sweep and bargraph displays,GENLoad:FMIN <value>,GENL:FMIN <value>,value,numeric,,,,GENL,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Genl_Mmax,Selects the upper magnitude display range for the sweep and bargraph displays in OHMS units,GENLoad:MMAX <value>,GENL:MMAX <value>,value,numeric,,,,GENL,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Genl_Mmin,Selects the lower magnitude display range for the sweep and bargraph displays in OHMS units,GENLoad:MMIN <value>,GENL:MMIN <value>,value,numeric,,,,GENL,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Genl_Spe,Selects the sweep speed,GENLoad:SPEed <value>,GENL:SPE <value>,value,enum,FAST; MED; SLOW,,,GENL,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Genl_Step,Selects the sweep mode and the number of sweep steps,GENLoad:STEPs <value>,GENL:STEP <value>,value,integer,,,,GENL,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Genl_Unit,Selects the default OHM measurement units for the GENLOAD function,GENLoad:UNIT <value>,GENL:UNIT <value>,value,enum,OHM,,,GENL,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Imd_Amax,"For the Access instrument, this command sets the maximum amplitude level for an amplitude sweep of the analog generator",:IMD:AMAX <value>,,value,numeric,,,,IMD,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Imd_Amin,"For the Access instrument, this command sets the minimum amplitude level for an amplitude sweep of the analog generator",IMD:AMIN <value>,,value,numeric,,,,IMD,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Imd_Lun,Selects the level display units for the IMD measurement function,IMD:LUNit <value>,IMD:LUN <value>,value,enum,V; DBV; DBU; DBM; DBR; DBG; W; OFF,,,IMD,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Imd_Mmax,Selects the upper magnitude display range for the sweep and bargraph displays in currently selected units,IMD:MMAX <value>,,value,numeric,,,,IMD,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Imd_Mmin,Selects the lower magnitude display range for the sweep and bargraph displays,IMD:MMIN <value>,,value,numeric,,,,IMD,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Imd_Spe,Selects the sweep speed,IMD:SPEed <value>,IMD:SPE <value>,value,enum,FAST; MED; SLOW,,,IMD,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Imd_Unit,Selects the IMD measurement units of percent or dB,IMD:UNIT <value>,,value,enum,PCT; DB,,,IMD,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Lev_Amax,"For the Access instrument, this command sets the maximum amplitude level for an amplitude sweep of the analog generator when the SWPType command is set to AMPL",:LEV:AMAX <value>,,value,numeric,,,,LEV,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Lev_Amin,"For the Access instrument, this command sets the minimum amplitude level for an amplitude sweep of the analog generator when the SWPType command is set to AMPL",LEVel:AMIN <value>,LEV:AMIN <value>,value,numeric,,,,LEV,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Lev_Ext,Selects glide or step settling in external sweep mode,LEVel:EXTernal <value>,LEV:EXT <value>,value,bool,OFF; ON,,,LEV,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Lev_Lun,Selects the measurement units for the second channel of the level function for the level meter :M2? query response,LEVel:LUNit <value>,LEV:LUN <value>,value,enum,V; DBV; DBU; DBM; DBR; DBG; W,,,LEV,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Lev_Mmax,Selects the upper magnitude display range for the sweep and bargraph displays in currently selected units,LEVel:MMAX <value>,LEV:MMAX <value>,value,numeric,,,,LEV,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Lev_Mmin,Selects the lower magnitude display range for the sweep and bargraph displays,LEVel:MMIN <value>,LEV:MMIN <value>,value,numeric,,,,LEV,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Lev_Spe,Selects the sweep speed,LEVel:SPEed <value>,LEV:SPE <value>,value,enum,FAST; MED; SLOW,,,LEV,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Lev_Step,Selects the sweep mode or the number of sweep steps,LEVel:STEPs <value>,LEV:STEP <value>,value,integer,,,,LEV,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Lev_Swpt,Specifies that either a frequency sweep or amplitude sweep is to be performed when the SWEEP START command is received,LEVel:SWPType <value>,LEV:SWPT <value>,value,enum,FREQ; AMPL,,,LEV,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Lev_Unit,Selects the measurement units for the first channel of the level function for the function meter :M1? query response,LEVel:UNIT <value>,LEV:UNIT <value>,value,enum,V; DBV; DBU; DBM; DBR; DBG; W,,,LEV,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Nois_Amax,"For the Access instrument, this command sets the maximum amplitude level for an amplitude sweep of the analog generator when the SWPType command is set to AMPL",:NOIS:AMAX <value>,,value,numeric,,,,NOIS,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Nois_Amin,"For the Access instrument, this command sets the minimum amplitude level for an amplitude sweep of the analog generator when the SWPType command is set to AMPL",NOISe:AMIN <value>,NOIS:AMIN <value>,value,numeric,,,,NOIS,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Nois_Bpfr,Selects the center frequency for the tunable bandpass filter when the Selective filter is selected,NOISe:BPFR <value>,NOIS:BPFR <value>,value,unknown,,,,NOIS,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Nois_Ext,Selects glide or step settling in external sweep mode,NOISe:EXTernal <value>,NOIS:EXT <value>,value,bool,OFF; ON,,,NOIS,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Nois_Filt,"Selects the filter for the Noise function, identical to the front-panel selection",NOISe:FILTer <value>,NOIS:FILT <value>,value,enum,SEL; WTD; UNWTD,,,NOIS,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Nois_Fmax,Selects the upper frequency display range for the sweep and bargraph displays,NOISe:FMAX <value>,NOIS:FMAX <value>,value,numeric,,,,NOIS,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Nois_Fmin,Selects the lower frequency display range for the sweep and bargraph displays,NOISe:FMIN <value>,NOIS:FMIN <value>,value,numeric,,,,NOIS,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Nois_Hpas,Enables and disables the high pass filter,NOISe:HPASs <value>,NOIS:HPAS <value>,value,enum,ON; OFF,,,NOIS,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Nois_Lpas,Selects the band pass filter when the unweighted filter is selected,NOISe:LPASs <value>,NOIS:LPAS <value>,value,enum,R22; Q22; R30; R80; R300,,,NOIS,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Nois_Mmax,Selects the upper magnitude display range for the sweep and bargraph displays in currently selected units,NOISe:MMAX <value>,NOIS:MMAX <value>,value,numeric,,,,NOIS,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Nois_Mmin,Selects the lower magnitude display range for the sweep and bargraph displays,NOISe:MMIN <value>,NOIS:MMIN <value>,value,numeric,,,,NOIS,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Nois_Spe,Selects the sweep speed,NOISe:SPEed <value>,NOIS:SPE <value>,value,enum,FAST; MED; SLOW,,,NOIS,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Nois_Step,Selects the sweep mode or the number of sweep steps,NOISe:STEPs <value>,NOIS:STEP <value>,value,integer,,,,NOIS,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Nois_Swpt,Specifies that either a frequency sweep or amplitude sweep is to be performed when the SWEEP START command is received,NOISe:SWPType <value>,NOIS:SWPT <value>,value,enum,FREQ; AMPL,,,NOIS,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Nois_Unit,Selects the measurement units for the Noise function,NOISe:UNIT <value>,NOIS:UNIT <value>,value,enum,V; DBV; DBU; DBM; DBG; W; DB,,,NOIS,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Nois_Wtd,Selects the weighting filter for the Noise function when the WTD filter is selected,NOISe:WTD <value>,NOIS:WTD <value>,value,enum,AUX1; AUX2; IEC; RMSC; CCIR2K; QPKC; ARMC,,,NOIS,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Phas_Amax,"For the Access instrument, this command sets the maximum amplitude level for an amplitude sweep of the analog generator when the SWPType command is set to AMPL",:PHAS:AMAX <value>,,value,numeric,,,,PHAS,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Phas_Amin,"For the Access instrument, this command sets the minimum amplitude level for an amplitude sweep of the analog generator when the SWPType command is set to AMPL",PHASe:AMIN <value>,PHAS:AMIN <value>,value,numeric,,,,PHAS,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Phas_Ext,Selects glide or step settling in external sweep mode,PHASe:EXTernal <value>,PHAS:EXT <value>,value,bool,OFF; ON,,,PHAS,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Phas_Fmax,Selects the upper frequency display range for the sweep and bargraph displays,PHASe:FMAX <value>,PHAS:FMAX <value>,value,numeric,,,,PHAS,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Phas_Fmin,Selects the lower frequency display range for the sweep and bargraph displays,PHASe:FMIN <value>,PHAS:FMIN <value>,value,numeric,,,,PHAS,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Phas_Lun,Selects the Level meter units,PHASe:LUNit <value>,PHAS:LUN <value>,value,enum,V; DBV; DBU; DBM; DBR; DBG; W; OFF,,,PHAS,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Phas_Mmax,Selects the upper magnitude display range for the sweep and bargraph displays,PHASe:MMAX <value>,PHAS:MMAX <value>,value,numeric,,,,PHAS,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Phas_Mmin,Selects the lower magnitude display range for the sweep and bargraph displays,PHASe:MMIN <value>,PHAS:MMIN <value>,value,numeric,,,,PHAS,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Phas_Rang,Selects the Phase meter display range,PHASe:RANGe <value>,PHAS:RANG <value>,value,enum,DEG90; DEG180; DEG270,,,PHAS,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Phas_Spe,Selects the sweep speed,PHASe:SPEed <value>,PHAS:SPE <value>,value,enum,FAST; MED; SLOW,,,PHAS,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Phas_Step,Selects the sweep mode or the number of sweep steps,PHASe:STEPs <value>,PHAS:STEP <value>,value,integer,,,,PHAS,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Phas_Swpt,Specifies that either a frequency sweep or amplitude sweep is to be performed when the SWEEP START command is received,PHASe:SWPType <value>,PHAS:SWPT <value>,value,enum,FREQ; AMPL,,,PHAS,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Phas_Unit,Selects the default degree measurement units for the PHASE function,PHASe:UNIT <value>,PHAS:UNIT <value>,value,enum,DEG,,,PHAS,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Rat_Amax,"For the Access instrument, this command sets the maximum amplitude level for an amplitude sweep of the analog generator when the SWPType command is set to AMPL",:RAT:AMAX <value>,,value,numeric,,,,RAT,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Rat_Amin,"For the Access instrument, this command sets the minimum amplitude level for an amplitude sweep of the analog generator when the SWPType command is set to AMPL",RATio:AMIN <value>,RAT:AMIN <value>,value,numeric,,,,RAT,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Rat_Ext,Selects glide or step settling in external sweep mode,RATio:EXTernal <value>,RAT:EXT <value>,value,bool,OFF; ON,,,RAT,,,,,1,yes,Distortion/Porta_one/commands.json
Distortion,Porta_one,SET,Set_Rat_Fmax,Selects the upper frequency display range for the sweep and bargraph displays,RATio:FMAX <value>,RAT:FMAX <value>,value,numeric,,,,RAT,,,,,1,yes,Distortion/Porta_one/commands.json
